,City,Cloudiness,Country,Date,Humidity,lat,Lng,max_temp,Wind Speed
278,socorro,71,AU,1587837850,85,-34.73,135.87,62.24,12.57
279,yermakovskoye,27,CL,1587837851,26,-22.09,-70.2,84.07,11.21
280,tubuala,20,AU,1587837852,67,-35.35,150.47,62.6,6.93
281,port macquarie,99,RU,1587837853,84,63.28,118.33,36.46,8.7
282,oranjemund,0,EG,1587837854,31,26.77,31.5,77,14.99
283,denpasar,0,DE,1587837856,38,48.79,9.93,63,8.05
284,touros,0,RU,1587837857,89,64.38,-173.3,21.54,1.88
285,mogadouro,1,CA,1587837858,60,53.83,-101.25,41,10.29
286,inirida,66,IN,1587837859,62,16.4,74.2,74.52,5.68
287,lasa,90,KI,1587837668,100,1.33,172.98,75.2,3.36
288,mount gambier,72,NZ,1587837697,93,-43.53,172.63,53.01,5.82
289,valmiera,26,VE,1587837863,31,9.35,-65.32,96.84,6.29
290,lingao,40,MX,1587837864,78,19.22,-104.7,77,9.17
291,clyde river,98,CA,1587837865,70,60.75,-137.51,32,5.68
292,mys shmidta,99,LK,1587837867,76,6.12,81.12,83.59,3.09
293,kruisfontein,1,US,1587837868,15,32.77,-108.28,75.99,10.29
294,mahaicony,48,BY,1587837624,49,53.9,27.57,46.4,8.95
295,bykovo,75,AR,1587837870,76,-43.3,-65.1,55.4,13.87
296,loa janan,100,ID,1587837871,86,4.14,96.13,78.75,8.16
297,sokol,40,BB,1587837872,58,13.22,-59.52,87.8,25.28
298,tuktoyaktuk,90,GE,1587837874,81,41.96,42.96,51.8,6.93
299,kununurra,97,BR,1587837875,27,-32.03,-52.1,91.4,8.05
300,duxbury,88,RU,1587837876,69,55.51,31.85,38.59,4.47
301,waddan,78,LY,1587837877,23,31.45,12.98,78.13,12.1
302,el salto,54,MX,1587837878,12,18.88,-100.73,103.6,4.52
303,port lincoln,20,US,1587837880,87,40.6,-124.16,63,4.7
304,tocopilla,1,MK,1587837881,42,41.43,22.01,66.2,4.7
305,ulladulla,38,ML,1587837882,9,16.41,-3.67,102.49,10.13
306,nyurba,98,RU,1587837883,96,67.47,78.7,23.79,16.26
307,tahta,35,AF,1587837885,39,35.83,66.17,57.63,2.8
308,heubach,99,FO,1587837886,75,62.23,-6.59,44.6,10.29
309,provideniya,93,GL,1587837887,68,68.71,-52.87,40.57,15.08
310,the pas,0,RU,1587837888,93,59.38,143.3,29.25,7.07
311,murgud,90,US,1587837739,67,38.15,-79.07,64.4,8.05
312,bairiki,69,CF,1587837891,27,7.24,16.44,86.43,1.03
